"Educational attainment for adults age 25 and older for the U.S., States, and counties, 1970-2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: Census Bureau, 1970, 1980, 1990, 2000 Censuses of Population, and the 2012-16 American Community Survey 5-yr average.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For defintions of rural classifications, see USDA, Economic Research Service - http://www.ers.usda.gov/topics/rural-economy-population/rural-classifications.aspx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This table was prepared by USDA, Economic Research Service. Contact: Tim Parker, tparker@ers.usda.gov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS Code,State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2012-2016","High school diploma only, 2012-2016","Some college or associate's degree, 2012-2016","Bachelor's degree or higher, 2012-2016","Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016",
06001,CA,Alameda County,1,1,1,1,"217,589","197,371","87,675","86,038",37.0,33.5,14.9,14.6,"162,536","215,093","148,837","151,045",24.0,31.7,22.0,22.3,"155,606","190,822","250,389","241,487",18.6,22.8,29.9,28.8,"168,281","181,668","270,813","332,954",17.6,19.0,28.4,34.9,"141,393","200,371","282,921","488,594",12.7,18.0,25.4,43.9,
06003,CA,Alpine County,8,4,8,4,101,98,57,8,38.3,37.1,21.6,3.0,85,185,143,198,13.9,30.3,23.4,32.4,92,203,267,177,12.4,27.5,36.1,24.0,93,207,272,225,11.7,26.0,34.1,28.2,70,257,228,235,8.9,32.5,28.9,29.7,
06005,CA,Amador County,6,4,6,4,"2,911","2,314","1,214",593,41.4,32.9,17.3,8.4,"2,987","5,491","2,760","1,626",23.2,42.7,21.5,12.6,"3,616","7,537","6,593","2,886",17.5,36.5,32.0,14.0,"4,096","7,721","9,479","4,253",16.0,30.2,37.1,16.6,"3,351","7,693","11,518","6,184",11.7,26.8,40.1,21.5,
06007,CA,Butte County,3,2,3,2,"24,482","17,743","8,511","6,299",42.9,31.1,14.9,11.0,"24,743","28,587","19,159","14,742",28.4,32.8,22.0,16.9,"25,712","28,746","38,071","22,379",22.4,25.0,33.1,19.5,"22,477","30,853","45,732","27,674",17.7,24.3,36.1,21.8,"16,950","32,775","56,917","37,753",11.7,22.7,39.4,26.1,
06009,CA,Calaveras County,6,6,6,6,"4,164","2,721","1,127",651,48.1,31.4,13.0,7.5,"3,293","5,630","3,060","1,915",23.7,40.5,22.0,13.8,"4,145","7,372","7,711","3,242",18.4,32.8,34.3,14.4,"4,176","8,346","11,683","4,996",14.3,28.6,40.0,17.1,"3,248","9,215","14,545","6,845",9.6,27.2,43.0,20.2,
06011,CA,Colusa County,6,4,6,4,"3,104","2,188","1,011",697,44.3,31.3,14.4,10.0,"2,719","2,565","1,457",947,35.4,33.4,19.0,12.3,"3,653","2,476","2,635","1,090",37.1,25.1,26.7,11.1,"3,927","2,635","3,188","1,162",36.0,24.1,29.2,10.6,"4,278","2,926","4,256","1,932",31.9,21.8,31.8,14.4,
06013,CA,Contra Costa County,1,1,1,1,"96,353","101,602","50,423","51,659",32.1,33.9,16.8,17.2,"73,252","129,454","95,719","101,933",18.3,32.3,23.9,25.5,"72,071","120,589","171,851","168,205",13.5,22.6,32.3,31.6,"81,867","123,956","200,770","219,048",13.1,19.8,32.1,35.0,"82,371","136,792","230,535","303,182",10.9,18.2,30.6,40.3,
06015,CA,Del Norte County,7,8,7,8,"3,970","2,592",801,583,50.0,32.6,10.1,7.3,"3,579","4,288","1,920","1,097",32.9,39.4,17.6,10.1,"4,385","4,608","4,592","1,506",29.1,30.5,30.4,10.0,"5,235","5,070","6,126","2,028",28.4,27.5,33.2,11.0,"3,461","5,963","7,079","2,891",17.8,30.7,36.5,14.9,
06017,CA,El Dorado County,1,1,1,1,"9,251","9,356","4,194","2,660",36.3,36.7,16.5,10.4,"10,246","20,478","14,179","9,483",18.8,37.7,26.1,17.4,"11,928","24,068","30,869","17,547",14.1,28.5,36.6,20.8,"11,480","23,316","42,371","27,867",10.9,22.2,40.3,26.5,"9,608","28,356","49,359","42,977",7.4,21.8,37.9,33.0,
06019,CA,Fresno County,2,2,2,2,"100,900","59,798","30,997","21,697",47.3,28.0,14.5,10.2,"104,714","82,455","57,896","43,785",36.3,28.5,20.0,15.2,"130,252","83,536","106,640","65,308",33.8,21.7,27.6,16.9,"147,937","96,097","131,579","79,927",32.5,21.1,28.9,17.5,"151,875","131,710","181,276","114,275",26.2,22.7,31.3,19.7,
06021,CA,Glenn County,6,6,6,6,"4,673","3,460","1,244",704,46.4,34.3,12.3,7.0,"4,680","4,602","2,201","1,181",37.0,36.3,17.4,9.3,"5,035","4,529","4,207","1,434",33.1,29.8,27.7,9.4,"5,077","4,314","4,985","1,723",31.5,26.8,31.0,10.7,"4,903","4,978","5,705","2,269",27.5,27.9,32.0,12.7,
06023,CA,Humboldt County,5,8,5,8,"23,271","16,824","7,168","5,233",44.3,32.0,13.7,10.0,"15,070","22,098","15,275","11,537",23.6,34.5,23.9,18.0,"14,732","20,277","25,470","15,101",19.5,26.8,33.7,20.0,"12,298","20,960","29,488","18,755",15.1,25.7,36.2,23.0,"8,794","22,486","33,965","25,658",9.7,24.7,37.4,28.2,
06025,CA,Imperial County,3,2,3,2,"20,636","8,924","4,029","2,662",56.9,24.6,11.1,7.3,"23,647","11,906","7,943","4,616",49.1,24.7,16.5,9.6,"28,510","12,268","14,196","5,936",46.8,20.1,23.3,9.7,"34,258","18,378","22,355","8,641",41.0,22.0,26.7,10.3,"35,505","24,204","32,941","15,029",33.0,22.5,30.6,14.0,
06027,CA,Inyo County,7,8,7,11,"3,585","3,621","1,283",872,38.3,38.7,13.7,9.3,"3,010","4,911","2,309","1,416",25.8,42.2,19.8,12.2,"2,364","4,886","3,911","1,740",18.3,37.9,30.3,13.5,"2,220","3,934","4,259","2,153",17.7,31.3,33.9,17.1,"1,526","4,131","4,335","3,241",11.5,31.2,32.8,24.5,
06029,CA,Kern County,2,2,2,2,"82,559","49,872","23,272","15,231",48.3,29.2,13.6,8.9,"85,492","70,627","42,618","26,674",37.9,31.3,18.9,11.8,"103,269","80,323","93,256","42,361",32.4,25.2,29.2,13.3,"120,981","97,344","113,473","51,869",31.5,25.4,29.6,13.5,"136,966","141,208","159,361","81,269",26.4,27.2,30.7,15.7,
06031,CA,Kings County,3,2,3,2,"15,962","9,352","3,368","2,685",50.9,29.8,10.7,8.6,"15,916","12,635","6,056","3,910",41.3,32.8,15.7,10.2,"20,118","16,702","16,372","5,235",34.4,28.6,28.0,9.0,"24,033","22,291","22,777","7,994",31.2,28.9,29.5,10.4,"24,929","24,250","30,901","11,743",27.1,26.4,33.7,12.8,
06033,CA,Lake County,4,5,4,5,"6,696","4,334","1,508",968,49.6,32.1,11.2,7.2,"8,626","10,000","4,443","2,616",33.6,38.9,17.3,10.2,"10,477","11,357","10,279","3,848",29.1,31.6,28.6,10.7,"9,256","12,132","14,415","4,914",22.7,29.8,35.4,12.1,"7,528","12,861","18,365","7,468",16.3,27.8,39.7,16.2,
06035,CA,Lassen County,6,6,7,8,"4,150","3,422","1,285",717,43.3,35.7,13.4,7.5,"3,382","4,418","3,285","1,499",26.9,35.1,26.1,11.9,"4,808","4,602","6,188","2,057",27.2,26.1,35.0,11.7,"4,673","7,091","8,743","2,456",20.4,30.9,38.1,10.7,"4,245","7,050","8,662","2,861",18.6,30.9,38.0,12.5,
06037,CA,Los Angeles County,1,1,1,1,"1,506,170","1,294,477","655,534","504,563",38.0,32.7,16.6,12.7,"1,336,041","1,336,165","939,639","818,658",30.2,30.2,21.2,18.5,"1,642,813","1,134,608","1,480,359","1,223,442",30.0,20.7,27.0,22.3,"1,770,524","1,108,314","1,541,721","1,462,389",30.1,18.8,26.2,24.9,"1,495,617","1,387,980","1,763,571","2,064,911",22.3,20.7,26.3,30.8,
06039,CA,Madera County,3,2,3,2,"13,151","5,616","2,178","1,572",58.4,24.9,9.7,7.0,"14,372","11,389","6,391","3,871",39.9,31.6,17.7,10.7,"19,387","12,967","14,447","6,191",36.6,24.5,27.3,11.7,"25,901","18,923","21,024","8,982",34.6,25.3,28.1,12.0,"26,930","24,649","31,097","12,496",28.3,25.9,32.7,13.1,
06041,CA,Marin County,1,1,1,1,"24,952","36,764","26,005","31,797",20.9,30.8,21.8,26.6,"15,133","36,832","40,497","57,301",10.1,24.6,27.0,38.3,"13,648","27,848","53,467","74,530",8.1,16.4,31.5,44.0,"16,080","22,857","50,509","94,248",8.8,12.4,27.5,51.3,"13,078","21,372","46,974","108,293",6.9,11.3,24.8,57.1,
06043,CA,Mariposa County,8,7,8,7,"1,670","1,204",503,380,44.5,32.0,13.4,10.1,"1,900","2,530","1,685","1,115",26.3,35.0,23.3,15.4,"2,261","2,853","3,358","1,713",22.2,28.0,33.0,16.8,"1,821","3,206","4,707","2,462",14.9,26.3,38.6,20.2,"1,426","3,839","5,210","3,065",10.5,28.4,38.5,22.6,
06045,CA,Mendocino County,4,5,4,5,"12,742","10,175","3,872","2,751",43.1,34.4,13.1,9.3,"9,787","15,649","8,683","7,305",23.6,37.8,21.0,17.6,"11,206","15,499","16,440","9,344",21.3,29.5,31.3,17.8,"10,906","14,812","19,663","11,505",19.2,26.0,34.6,20.2,"8,299","16,158","22,356","14,847",13.5,26.2,36.3,24.1,
06047,CA,Merced County,3,2,2,2,"25,247","15,455","6,219","4,239",49.3,30.2,12.2,8.3,"28,243","22,220","13,337","7,462",39.6,31.2,18.7,10.5,"36,425","22,806","27,715","11,873",36.9,23.1,28.0,12.0,"42,247","27,901","33,681","12,896",36.2,23.9,28.9,11.0,"48,345","38,871","45,751","21,041",31.4,25.2,29.7,13.7,
06049,CA,Modoc County,6,6,6,6,"1,769","1,730",609,307,40.1,39.2,13.8,7.0,"1,518","2,005","1,281",677,27.7,36.6,23.4,12.4,"1,792","2,148","1,787",720,27.8,33.3,27.7,11.2,"1,483","1,900","2,282",799,22.9,29.4,35.3,12.4,908,"1,810","2,744","1,221",13.6,27.1,41.1,18.3,
