State,Area_name,% Excessive Drinking
CA,Alameda,20%
CA,Alpine,17%
CA,Amador,19%
CA,Butte,19%
CA,Calaveras,18%
CA,Colusa,18%
CA,Contra Costa,16%
CA,Del Norte,19%
CA,El Dorado,22%
CA,Fresno,16%
CA,Glenn,18%
CA,Humboldt,20%
CA,Imperial,17%
CA,Inyo,19%
CA,Kern,19%
CA,Kings,19%
CA,Lake,17%
CA,Lassen,22%
CA,Los Angeles,17%
CA,Madera,17%
CA,Marin,20%
CA,Mariposa,18%
CA,Mendocino,19%
CA,Merced,18%
CA,Modoc,17%
CA,Mono,22%
CA,Monterey,18%
CA,Napa,20%
CA,Nevada,19%
CA,Orange,17%
CA,Placer,21%
CA,Plumas,18%
CA,Riverside,19%
CA,Sacramento,19%
CA,San Benito,19%
CA,San Bernardino,18%
CA,San Diego,22%
CA,San Francisco,24%
CA,San Joaquin,18%
CA,San Luis Obispo,21%
CA,San Mateo,17%
CA,Santa Barbara,19%
CA,Santa Clara,16%
CA,Santa Cruz,20%
CA,Shasta,19%
CA,Sierra,18%
CA,Siskiyou,16%
CA,Solano,18%
CA,Sonoma,19%
CA,Stanislaus,18%
CA,Sutter,17%
CA,Tehama,19%
CA,Trinity,16%
CA,Tulare,18%
CA,Tuolumne,19%
CA,Ventura,19%
CA,Yolo,19%
CA,Yuba,19%
